COD_MATRICULA|ALUNO_MATRICULADO_PROX_PERIODO|ALUNO_MATRICULADO|CONDICAO_GERENCIAL|CONDICAO_IMPEDE_RENOVACAO|TIPO_INADIMPLENCIA|RISCO_INADIMPLENCIA|COD_CURSO|COD_TURNO|COD_TIPO_CURSO|CLASSE_PAGANTE_ANT|CLASSE_PAGANTE_ATU|NOVO_FIES|PRV_ANT|PRV_ATU|LATE_COMER|NOM_SITUACAO_ALUNO|NOM_SITUACAO_PERIODO_ANT|VAL_A_PAGAR|VAL_A_PAGAR_PAR|VAL_DIVIDA_MENS|VAL_DIVIDA_TOTAL|FAIXA_DE_DIVIDA|ADIMP_N_REN|CR_PER_ANT|FAIXA_APROVACAO|QTD_ACESSOS_19_2|QTD_ACESSOS_20_1|IND_INDICIO_EVASAO|CLASSIFICACAO_PROP_EVASAO|CLASSIFICACAO_PROP_RENOVACAO|ACEITE_CONTRATO|PASTA_VERMELHA|REQ_AGEND_TRANC|SAFRA
200701339023|0|0|9 - ALTO PROPENSO|BOLETO RENOVACAO NAO PAGO|ADIMPLENTE|SEM RISCO|1|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|51.18|0.0|0.0|0.0|SEM DIVIDA|1|9.0|7 - 100%|32.0|21.0|0|1 - Alto|3 - Médio Baixo|0|0|0|VETERANO
200702198245|0|0|8 - BAIXO PROPENSO|INADIMPLENTE|INADIMPLENTE SEM NEGOCIACAO|MEDIO RISCO|4004|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|3111.2|3111.2|> 1500|0|5.91|4 - 41% A 60%|48.0|48.0|0|3 - Médio Baixo|4 - Baixo|1|0|0|CALOURO
200702198679|0|0|8 - BAIXO PROPENSO|INADIMPLENTE|INADIMPLENTE SEM NEGOCIACAO|MEDIO RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|3238.77|3238.77|> 1500|0|5.27|3 - 21% A 40%|53.0|46.0|0|4 - Baixo|4 - Baixo|0|0|0|VETERANO
200801431011|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|2521.12|0.0|0.0|0.0|SEM DIVIDA|0|9.89|7 - 100%|130.0|119.0|0|4 - Baixo|2 - Médio Alto|1|0|0|VETERANO
200901402225|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|1|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|170.96|0.0|0.0|0.0|SEM DIVIDA|0|3.5|4 - 41% A 60%|125.0|70.0|0|00 - Não Escorado|00 - Não Escorado|1|0|0|VETERANO
201001152832|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|2|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|663.66|0.0|0.0|0.0|SEM DIVIDA|0|6.0|7 - 100%|87.0|76.0|0|4 - Baixo|3 - Médio Baixo|1|0|0|VETERANO
201001153693|0|0|8 - BAIXO PROPENSO|INADIMPLENTE|INADIMPLENTE SEM NEGOCIACAO|BAIXO RISCO|1|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|1013.56|1013.56|1000-1500|0|7.75|7 - 100%|11.0|9.0|0|3 - Médio Baixo|4 - Baixo|1|0|0|CALOURO
201001211669|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|2|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|883.8|0.0|0.0|0.0|SEM DIVIDA|0|6.8|5 - 61% A 80%|158.0|82.0|0|2 - Médio Alto|3 - Médio Baixo|1|0|0|VETERANO
201001462891|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|166|3|11|PROUNI|PROUNI|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|0.0|0.0|SEM DIVIDA|0|8.48|7 - 100%|102.0|111.0|0|4 - Baixo|2 - Médio Alto|1|0|0|VETERANO
201002224454|0|0|8 - BAIXO PROPENSO|INADIMPLENTE|INADIMPLENTE SEM NEGOCIACAO|MEDIO RISCO|2|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|4523.0|4523.0|> 1500|0|5.8|3 - 21% A 40%|83.0|52.0|0|4 - Baixo|4 - Baixo|1|0|0|VETERANO
201101122951|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1100.73|0.0|0.0|0.0|SEM DIVIDA|0|9.0|7 - 100%|106.0|114.0|0|4 - Baixo|2 - Médio Alto|1|0|0|CALOURO
201101170662|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|30|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|143.04|0.0|0.0|0.0|SEM DIVIDA|0|8.3|5 - 61% A 80%|33.0|32.0|0|00 - Não Escorado|00 - Não Escorado|1|0|0|VETERANO
201101246022|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1521.6|0.0|0.0|0.0|SEM DIVIDA|0|8.71|7 - 100%|162.0|137.0|0|4 - Baixo|2 - Médio Alto|1|0|0|VETERANO
201101494131|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|243.86|0.0|0.0|0.0|SEM DIVIDA|0|10.0|7 - 100%|47.0|43.0|0|1 - Alto|3 - Médio Baixo|1|0|0|VETERANO
201101512971|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|MEDIO RISCO|2|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|235.01|0.0|0.0|0.0|SEM DIVIDA|0|0.0|1 - 0%|9.0|5.0|0|00 - Não Escorado|00 - Não Escorado|1|0|0|VETERANO
201101523247|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|INADIMPLENTE COM NEGOCIACAO|MEDIO RISCO|4070|3|4|MENSALISTA|MENSALISTA|NÃO|0|0|LATE COMER|Ativo|Cursado|364.74|0.0|0.0|369.7|SEM DIVIDA|0|0.0|1 - 0%|8.0|19.0|0|2 - Médio Alto|4 - Baixo|1|0|0|VETERANO
201101564148|1|0|9 - ALTO PROPENSO|BOLETO RENOVACAO NAO PAGO|ADIMPLENTE|SEM RISCO|166|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|570.2|0.0|0.0|0.0|SEM DIVIDA|1|7.82|6 - 81% A 99%|87.0|57.0|0|4 - Baixo|3 - Médio Baixo|1|0|0|VETERANO
201102132081|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|2|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|460.56|0.0|0.0|0.0|SEM DIVIDA|0|3.9|5 - 61% A 80%|28.0|22.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201102152013|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|1|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|728.57|0.0|0.0|0.0|SEM DIVIDA|0|5.67|5 - 61% A 80%|416.0|338.0|0|4 - Baixo|2 - Médio Alto|1|0|0|VETERANO
201201043484|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|1|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1105.54|0.0|0.0|0.0|SEM DIVIDA|0|4.0|4 - 41% A 60%|72.0|62.0|0|4 - Baixo|2 - Médio Alto|1|0|0|VETERANO
201201043522|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|1|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|855.44|0.0|0.0|0.0|SEM DIVIDA|0|5.8|5 - 61% A 80%|64.0|53.0|0|4 - Baixo|2 - Médio Alto|1|0|0|VETERANO
201201044006|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|860.86|0.0|0.0|0.0|SEM DIVIDA|0|6.73|6 - 81% A 99%|115.0|94.0|0|4 - Baixo|3 - Médio Baixo|1|0|0|VETERANO
201201044111|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1109.93|0.0|0.0|0.0|SEM DIVIDA|0|7.74|7 - 100%|90.0|130.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201201172934|0|0|8 - BAIXO PROPENSO|INADIMPLENTE|INADIMPLENTE COM NEGOCIACAO|BAIXO RISCO|1|1|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|1902.05|2583.53|> 1500|0|7.4|7 - 100%|39.0|18.0|0|4 - Baixo|4 - Baixo|1|0|0|VETERANO
201201172969|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|BAIXO RISCO|2|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|521.1|0.0|0.0|0.0|SEM DIVIDA|0|6.0|7 - 100%|76.0|85.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201201227951|1|0|8 - BAIXO PROPENSO|BOLETO RENOVACAO NAO GERADO|ADIMPLENTE|BAIXO RISCO|1|1|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|0.0|0.0|SEM DIVIDA|1|6.7|6 - 81% A 99%|54.0|50.0|0|4 - Baixo|4 - Baixo|1|0|0|VETERANO
201201235987|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|MEDIO RISCO|1|1|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|289.06|0.0|0.0|0.0|SEM DIVIDA|0|4.0|3 - 21% A 40%|83.0|43.0|0|00 - Não Escorado|00 - Não Escorado|1|0|0|VETERANO
201201256836|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1702.27|0.0|0.0|0.0|SEM DIVIDA|0|8.72|7 - 100%|81.0|102.0|0|4 - Baixo|2 - Médio Alto|1|0|0|VETERANO
201201256852|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|MEDIO RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|634.03|0.0|0.0|0.0|SEM DIVIDA|0|7.6|7 - 100%|94.0|109.0|0|2 - Médio Alto|4 - Baixo|1|0|0|VETERANO
201201285526|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|INADIMPLENTE COM NEGOCIACAO|BAIXO RISCO|4004|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|542.32|0.0|0.0|184.62|SEM DIVIDA|0|8.83|7 - 100%|287.0|260.0|0|4 - Baixo|3 - Médio Baixo|1|0|0|VETERANO
201201293723|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|ALTO RISCO|2|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|296.44|0.0|0.0|0.0|SEM DIVIDA|0|0.0|1 - 0%|50.0|65.0|0|00 - Não Escorado|00 - Não Escorado|1|0|0|VETERANO
201201338603|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|MEDIO RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1213.55|0.0|0.0|0.0|SEM DIVIDA|0|0.0|1 - 0%|23.0|22.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|CALOURO
201201563828|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|MEDIO RISCO|2|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|97.87|0.0|0.0|0.0|SEM DIVIDA|0|8.5|7 - 100%|87.0|86.0|0|1 - Alto|3 - Médio Baixo|1|0|0|VETERANO
201202113958|1|0|9 - ALTO PROPENSO|BOLETO RENOVACAO NAO GERADO|ADIMPLENTE|BAIXO RISCO|2|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|0.0|0.0|SEM DIVIDA|1|8.0|7 - 100%|95.0|65.0|0|00 - Não Escorado|00 - Não Escorado|1|0|0|CALOURO
201202159362|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|1|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1300.64|0.0|0.0|0.0|SEM DIVIDA|0|5.7|5 - 61% A 80%|154.0|128.0|0|4 - Baixo|2 - Médio Alto|1|0|0|VETERANO
201202333321|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|987.25|0.0|0.0|0.0|SEM DIVIDA|0|8.21|7 - 100%|58.0|50.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|VETERANO
201301193909|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|1|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|1271.95|0.0|0.0|0.0|SEM DIVIDA|0|6.36|5 - 61% A 80%|126.0|131.0|0|4 - Baixo|2 - Médio Alto|1|0|0|VETERANO
201301194051|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|692.78|0.0|0.0|0.0|SEM DIVIDA|0|3.0|1 - 0%|35.0|31.0|0|3 - Médio Baixo|3 - Médio Baixo|1|0|0|CALOURO
201301352357|1|0|9 - ALTO PROPENSO|INADIMPLENTE|INADIMPLENTE SEM NEGOCIACAO|MEDIO RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|10141.23|10141.23|> 1500|0|8.43|7 - 100%|341.0|231.0|0|4 - Baixo|3 - Médio Baixo|1|0|0|VETERANO
201301353248|0|0|9 - ALTO PROPENSO|INADIMPLENTE|INADIMPLENTE SEM NEGOCIACAO|BAIXO RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|0.0|0.0|1765.0|1765.0|> 1500|0|8.0|7 - 100%|64.0|18.0|0|4 - Baixo|3 - Médio Baixo|0|0|0|VETERANO
201301354228|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|SEM RISCO|29|3|11|MENSALISTA|MENSALISTA|NÃO|1|1|ON TIME COMER|Ativo|Cursado|1108.99|0.0|0.0|0.0|SEM DIVIDA|0|5.85|2 - 1% A 20%|58.0|79.0|0|4 - Baixo|4 - Baixo|1|0|0|VETERANO
201301354521|1|1|1 - ALUNO RENOVADO|ALUNO RENOVADO|ADIMPLENTE|MEDIO RISCO|1|1|11|MENSALISTA|MENSALISTA|NÃO|0|0|ON TIME COMER|Ativo|Cursado|844.68|0.0|0.0|0.0|SEM DIVIDA|0|6.39|5 - 61% A 80%|112.0|171.0|0|4 - Baixo|3 - Médio Baixo|1|0|0|VETERANO
